Histogram calculations of histo.txt

Bin 	0	 has 	19	pixels
Bin 	1	 has 	54	pixels
Bin 	2	 has 	154	pixels
Bin 	3	 has 	325	pixels
Bin 	4	 has 	435	pixels
Bin 	5	 has 	629	pixels
Bin 	6	 has 	1269	pixels
Bin 	7	 has 	2068	pixels
Bin 	8	 has 	3318	pixels
Bin 	9	 has 	4253	pixels
Bin 	10	 has 	3364	pixels
Bin 	11	 has 	2464	pixels
Bin 	12	 has 	2553	pixels
Bin 	13	 has 	2659	pixels
Bin 	14	 has 	2052	pixels
Bin 	15	 has 	1312	pixels
Bin 	16	 has 	1020	pixels
Bin 	17	 has 	819	pixels
Bin 	18	 has 	660	pixels
Bin 	19	 has 	362	pixels
Bin 	20	 has 	198	pixels
Bin 	21	 has 	166	pixels
Bin 	22	 has 	113	pixels
Bin 	23	 has 	95	pixels
Bin 	24	 has 	101	pixels
Bin 	25	 has 	72	pixels
Bin 	26	 has 	56	pixels
Bin 	27	 has 	67	pixels
Bin 	28	 has 	65	pixels
Bin 	29	 has 	48	pixels
Bin 	30	 has 	45	pixels
Bin 	31	 has 	39	pixels
Bin 	32	 has 	56	pixels
Bin 	33	 has 	41	pixels
Bin 	34	 has 	39	pixels
Bin 	35	 has 	42	pixels
Bin 	36	 has 	37	pixels
Bin 	37	 has 	38	pixels
Bin 	38	 has 	34	pixels
Bin 	39	 has 	31	pixels
Bin 	40	 has 	39	pixels
Bin 	41	 has 	39	pixels
Bin 	42	 has 	43	pixels
Bin 	43	 has 	42	pixels
Bin 	44	 has 	32	pixels
Bin 	45	 has 	37	pixels
Bin 	46	 has 	35	pixels
Bin 	47	 has 	22	pixels
Bin 	48	 has 	29	pixels
Bin 	49	 has 	30	pixels
Bin 	50	 has 	24	pixels
Bin 	51	 has 	30	pixels
Bin 	52	 has 	31	pixels
Bin 	53	 has 	29	pixels
Bin 	54	 has 	28	pixels
Bin 	55	 has 	41	pixels
Bin 	56	 has 	28	pixels
Bin 	57	 has 	23	pixels
Bin 	58	 has 	27	pixels
Bin 	59	 has 	26	pixels
Bin 	60	 has 	27	pixels
Bin 	61	 has 	29	pixels
Bin 	62	 has 	21	pixels
Bin 	63	 has 	23	pixels
Bin 	64	 has 	34	pixels
Bin 	65	 has 	15	pixels
Bin 	66	 has 	27	pixels
Bin 	67	 has 	34	pixels
Bin 	68	 has 	25	pixels
Bin 	69	 has 	26	pixels
Bin 	70	 has 	20	pixels
Bin 	71	 has 	23	pixels
Bin 	72	 has 	28	pixels
Bin 	73	 has 	27	pixels
Bin 	74	 has 	27	pixels
Bin 	75	 has 	23	pixels
Bin 	76	 has 	26	pixels
Bin 	77	 has 	34	pixels
Bin 	78	 has 	29	pixels
Bin 	79	 has 	28	pixels
Bin 	80	 has 	28	pixels
Bin 	81	 has 	33	pixels
Bin 	82	 has 	22	pixels
Bin 	83	 has 	33	pixels
Bin 	84	 has 	29	pixels
Bin 	85	 has 	22	pixels
Bin 	86	 has 	24	pixels
Bin 	87	 has 	32	pixels
Bin 	88	 has 	31	pixels
Bin 	89	 has 	33	pixels
Bin 	90	 has 	22	pixels
Bin 	91	 has 	32	pixels
Bin 	92	 has 	34	pixels
Bin 	93	 has 	26	pixels
Bin 	94	 has 	31	pixels
Bin 	95	 has 	34	pixels
Bin 	96	 has 	37	pixels
Bin 	97	 has 	22	pixels
Bin 	98	 has 	25	pixels
Bin 	99	 has 	26	pixels
Bin 	100	 has 	21	pixels
Bin 	101	 has 	21	pixels
Bin 	102	 has 	25	pixels
Bin 	103	 has 	18	pixels
Bin 	104	 has 	29	pixels
Bin 	105	 has 	23	pixels
Bin 	106	 has 	25	pixels
Bin 	107	 has 	28	pixels
Bin 	108	 has 	27	pixels
Bin 	109	 has 	29	pixels
Bin 	110	 has 	29	pixels
Bin 	111	 has 	28	pixels
Bin 	112	 has 	26	pixels
Bin 	113	 has 	24	pixels
Bin 	114	 has 	18	pixels
Bin 	115	 has 	28	pixels
Bin 	116	 has 	29	pixels
Bin 	117	 has 	29	pixels
Bin 	118	 has 	22	pixels
Bin 	119	 has 	26	pixels
Bin 	120	 has 	38	pixels
Bin 	121	 has 	33	pixels
Bin 	122	 has 	18	pixels
Bin 	123	 has 	27	pixels
Bin 	124	 has 	28	pixels
Bin 	125	 has 	37	pixels
Bin 	126	 has 	37	pixels
Bin 	127	 has 	35	pixels
Bin 	128	 has 	22	pixels
Bin 	129	 has 	39	pixels
Bin 	130	 has 	19	pixels
Bin 	131	 has 	17	pixels
Bin 	132	 has 	22	pixels
Bin 	133	 has 	19	pixels
Bin 	134	 has 	20	pixels
Bin 	135	 has 	18	pixels
Bin 	136	 has 	28	pixels
Bin 	137	 has 	24	pixels
Bin 	138	 has 	25	pixels
Bin 	139	 has 	29	pixels
Bin 	140	 has 	20	pixels
Bin 	141	 has 	23	pixels
Bin 	142	 has 	12	pixels
Bin 	143	 has 	23	pixels
Bin 	144	 has 	26	pixels
Bin 	145	 has 	17	pixels
Bin 	146	 has 	22	pixels
Bin 	147	 has 	21	pixels
Bin 	148	 has 	19	pixels
Bin 	149	 has 	20	pixels
Bin 	150	 has 	34	pixels
Bin 	151	 has 	25	pixels
Bin 	152	 has 	23	pixels
Bin 	153	 has 	16	pixels
Bin 	154	 has 	23	pixels
Bin 	155	 has 	29	pixels
Bin 	156	 has 	30	pixels
Bin 	157	 has 	22	pixels
Bin 	158	 has 	19	pixels
Bin 	159	 has 	25	pixels
Bin 	160	 has 	25	pixels
Bin 	161	 has 	25	pixels
Bin 	162	 has 	17	pixels
Bin 	163	 has 	18	pixels
Bin 	164	 has 	20	pixels
Bin 	165	 has 	11	pixels
Bin 	166	 has 	26	pixels
Bin 	167	 has 	31	pixels
Bin 	168	 has 	18	pixels
Bin 	169	 has 	24	pixels
Bin 	170	 has 	23	pixels
Bin 	171	 has 	18	pixels
Bin 	172	 has 	23	pixels
Bin 	173	 has 	21	pixels
Bin 	174	 has 	26	pixels
Bin 	175	 has 	23	pixels
Bin 	176	 has 	30	pixels
Bin 	177	 has 	19	pixels
Bin 	178	 has 	19	pixels
Bin 	179	 has 	31	pixels
Bin 	180	 has 	31	pixels
Bin 	181	 has 	28	pixels
Bin 	182	 has 	30	pixels
Bin 	183	 has 	21	pixels
Bin 	184	 has 	31	pixels
Bin 	185	 has 	31	pixels
Bin 	186	 has 	31	pixels
Bin 	187	 has 	18	pixels
Bin 	188	 has 	34	pixels
Bin 	189	 has 	30	pixels
Bin 	190	 has 	26	pixels
Bin 	191	 has 	41	pixels
Bin 	192	 has 	33	pixels
Bin 	193	 has 	24	pixels
Bin 	194	 has 	32	pixels
Bin 	195	 has 	27	pixels
Bin 	196	 has 	30	pixels
Bin 	197	 has 	37	pixels
Bin 	198	 has 	23	pixels
Bin 	199	 has 	26	pixels
Bin 	200	 has 	22	pixels
Bin 	201	 has 	24	pixels
Bin 	202	 has 	31	pixels
Bin 	203	 has 	36	pixels
Bin 	204	 has 	25	pixels
